Disease,Medicine,Dosage
Fungal infection,Clotrimazole,Apply twice daily
Allergy,Cetirizine,10 mg once daily
GERD,Omeprazole,20 mg before breakfast
Chronic cholestasis,Ursodeoxycholic acid,300 mg twice daily
Drug Reaction,Prednisolone,10-20 mg daily
Peptic ulcer disease,Ranitidine,150 mg twice daily
AIDS,Tenofovir + Lamivudine + Efavirenz,As prescribed by doctor
Diabetes,Metformin,500 mg twice daily
Gastroenteritis,ORS + Loperamide,"ORS after each loose stool, Loperamide 4 mg once, then 2 mg as needed"
Bronchial Asthma,Salbutamol inhaler,2 puffs every 6 hours as needed
Hypertension,Amlodipine,5 mg once daily
Migraine,Sumatriptan,50 mg at onset of migraine
Cervical spondylosis,Diclofenac,50 mg twice daily
Paralysis (brain hemorrhage),Aspirin,75 mg once daily (if recommended)
Jaundice,Liv-52,2 tablets twice daily
Malaria,Artemether + Lumefantrine,As prescribed by doctor
Chicken pox,Acyclovir,800 mg 5 times daily
Dengue,Acetaminophen,500 mg every 6 hours as needed
Typhoid,Ciprofloxacin,500 mg twice daily for 7 days
Hepatitis A,Supportive care,"Rest, hydration, avoid alcohol"
Hepatitis B,Entecavir,0.5 mg once daily
Hepatitis C,Sofosbuvir + Ledipasvir,400 mg + 90 mg once daily
Hepatitis D,Pegylated Interferon Alpha,As prescribed by doctor
Hepatitis E,Supportive care,"Rest, hydration, avoid alcohol"
Alcoholic hepatitis,Pentoxifylline,400 mg three times daily
Tuberculosis,Rifampin + Isoniazid + Pyrazinamide + Ethambutol,As prescribed by doctor
Common Cold,Paracetamol,500 mg every 6 hours as needed
Pneumonia,Azithromycin,500 mg once daily for 3 days
Dimorphic hemorrhoids (piles),Daflon,500 mg twice daily
Heart attack,Aspirin + Clopidogrel,75 mg once daily
Varicose veins,Diosmin,600 mg twice daily
Hypothyroidism,Levothyroxine,50 mcg once daily
Hyperthyroidism,Methimazole,10 mg once daily
Hypoglycemia,Glucose tablets,15-20 grams immediately
Osteoarthritis,Naproxen,500 mg twice daily
Arthritis,Celecoxib,200 mg once daily
(Vertigo) Paroxysmal Positional Vertigo,Betahistine,16 mg three times daily
Acne,Isotretinoin,20 mg once daily
Urinary tract infection,Nitrofurantoin,100 mg twice daily for 5 days
Psoriasis,Methotrexate,7.5 mg once weekly
Impetigo,Mupirocin ointment,Apply three times daily
